"local";"rs";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"clay_0_30cm";"npp";"ocd_clay_0_30cm";"ocs_clay_0_30cm";"ocs_sand_0_30cm";"sand_0_30cm";"soc_clay_0_30cm";"soc_sand_0_30cm"
370;592;13,75;21,9500007629395;4,55000019073486;1840,19995117188;453,600006103516;19,8999996185303;89,1999969482422;1063,09997558594;74,8000030517578;1050;74,8000030517578;6,09999990463257;23,6000003814697;668,799987792969;25,25;-0,449999988079071;25,7000007629395;21,25;4,55000019073486;250,33332824707;1738,90002441406;1,26098537445068;0,235685750842094;0,198430493474007;297,333343505859;1,25033295154572;1,05269050598145
601;571;16,1499996185303;26,6499996185303;4,84999990463257;1684,30004882812;293,799987792969;48,5999984741211;48,2000007629395;702,200012207031;205,899993896484;702,200012207031;221,199996948242;8,10000038146973;24,7000007629395;851,5;31,8500003814697;-0,949999988079071;32,7999992370605;26,6499996185303;6,84999990463257;271,666656494141;1941,69995117188;1,06625771522522;0,169325157999992;0,197142854332924;233,33332824707;1,00245404243469;1,16714286804199
616;540;17,1499996185303;27,75;6,05000019073486;1590;245,100006103516;51,7999992370605;39,7999992370605;619,400024414062;223,800003051758;619,400024414062;235,699996948242;8,10000038146973;24,8999996185303;844,700012207031;32,8499984741211;0,150000005960464;32,7000007629395;27,75;8,14999961853027;NA;1915,59997558594;NA;NA;NA;NA;NA;NA
616;440;17,1499996185303;27,75;6,05000019073486;1590;245,100006103516;51,7999992370605;39,7999992370605;619,400024414062;223,800003051758;619,400024414062;235,699996948242;8,10000038146973;24,8999996185303;844,700012207031;32,8499984741211;0,150000005960464;32,7000007629395;27,75;8,14999961853027;NA;1915,59997558594;NA;NA;NA;NA;NA;NA
616;430;17,1499996185303;27,75;6,05000019073486;1590;245,100006103516;51,7999992370605;39,7999992370605;619,400024414062;223,800003051758;619,400024414062;235,699996948242;8,10000038146973;24,8999996185303;844,700012207031;32,8499984741211;0,150000005960464;32,7000007629395;27,75;8,14999961853027;NA;1915,59997558594;NA;NA;NA;NA;NA;NA
609;459,9;17,0499992370605;27,6499996185303;5,84999990463257;1593,40002441406;261,799987792969;51,5999984741211;42,0999984741211;628;219,5;628;232,800003051758;8,30000019073486;25,2000007629395;847,099975585938;32,8499984741211;0,150000005960464;32,7000007629395;27,6499996185303;7,94999980926514;NA;1918;NA;NA;NA;NA;NA;NA
609;481,8;17,0499992370605;27,6499996185303;5,84999990463257;1593,40002441406;261,799987792969;51,5999984741211;42,0999984741211;628;219,5;628;232,800003051758;8,30000019073486;25,2000007629395;847,099975585938;32,8499984741211;0,150000005960464;32,7000007629395;27,6499996185303;7,94999980926514;NA;1918;NA;NA;NA;NA;NA;NA
609;645;17,0499992370605;27,6499996185303;5,84999990463257;1593,40002441406;261,799987792969;51,5999984741211;42,0999984741211;628;219,5;628;232,800003051758;8,30000019073486;25,2000007629395;847,099975585938;32,8499984741211;0,150000005960464;32,7000007629395;27,6499996185303;7,94999980926514;NA;1918;NA;NA;NA;NA;NA;NA
614;1768,2;17,1499996185303;27,75;6,05000019073486;1529,80004882812;236,5;49,7999992370605;40;598,400024414062;215;598,400024414062;226,5;8,19999980926514;24,8999996185303;845,799987792969;32,8499984741211;0,150000005960464;32,7000007629395;27,75;8,14999961853027;NA;1873;NA;NA;NA;NA;NA;NA
614;1426,08;17,1499996185303;27,75;6,05000019073486;1529,80004882812;236,5;49,7999992370605;40;598,400024414062;215;598,400024414062;226,5;8,19999980926514;24,8999996185303;845,799987792969;32,8499984741211;0,150000005960464;32,7000007629395;27,75;8,14999961853027;NA;1873;NA;NA;NA;NA;NA;NA
